state,county,01-22,01-25,01-28,01-31,02-03,02-06,02-09,02-12,02-15,02-18,02-21,02-24,02-27,03-01,03-04,03-07,03-10,03-13,03-16,03-19,03-22,03-25,03-28,03-31,04-03,04-06,04-09
Connecticut,New Haven,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,5,98,109,281,374,577,715
Nevada,Clark,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,19,39,52,123,279,341,410,329,401
Massachusetts,Norfolk,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,19,2,12,16,23,147,268,248,307,337,625
Washington,Snohomish,,0,0,0,0,0,0,0,0,0,0,0,0,1,6,18,35,71,67,148,133,153,279,316,221,153,99
Pennsylvania,Montgomery,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,10,12,17,63,62,239,159,305,355,463
Arizona,Maricopa,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,14,59,170,203,337,258,384,256
California,San Diego,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,47,49,100,92,191,246,378,292,224
District of Columbia,District of Columbia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,12,46,48,115,111,153,262,340,426
Massachusetts,Plymouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,76,171,187,286,322,440
New York,Dutchess,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,21,51,71,109,222,325,380,304
Wisconsin,Milwaukee,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,49,121,142,216,133,281,301,228
Maryland,Prince George's,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,13,17,36,120,145,222,353,560
Connecticut,Hartford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,36,62,112,165,286,203,589
Pennsylvania,Lehigh,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,19,71,163,312,422,460
Massachusetts,Worcester,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,23,92,162,142,392,252,384
California,Santa Clara,,0,0,1,1,0,0,0,0,0,0,0,0,5,7,18,13,34,59,51,114,156,132,299,204,130,218
Texas,Dallas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,42,76,37,270,192,290,234,277
Missouri,St. Louis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,6,45,74,184,179,302,239,360
New York,Erie,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,26,68,232,84,364,361,199
Georgia,Fulton,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,21,41,43,93,174,221,311,143,283
New Jersey,Somerset,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,31,66,141,155,228,261,433
Florida,Palm Beach,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,21,42,69,179,233,305,224,251
California,Riverside,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,4,8,23,62,78,186,267,308,334
Massachusetts,Hampden,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,33,138,171,307,228,387
Pennsylvania,Luzerne,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,20,38,147,272,365,392
Pennsylvania,Delaware,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,7,29,58,125,112,204,280,400
Maryland,Montgomery,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,9,18,50,44,128,133,178,227,421
New Jersey,Mercer,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,20,42,86,100,216,256,421
Tennessee,Davidson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,15,50,92,90,119,165,267,226,106
Illinois,Lake,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,31,32,70,125,125,219,207,309
California,Orange,,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8,9,31,42,92,134,181,209,171,197
Georgia,Dougherty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,30,71,101,242,141,115,320
Colorado,Denver,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,13,11,33,64,89,153,172,177,131,184
Pennsylvania,Bucks,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,24,76,106,103,127,267,309
Ohio,Cuyahoga,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,29,72,81,164,157,253,91,143
Illinois,Will,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,10,29,106,72,227,242,315
Tennessee,Shelby,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,20,44,104,105,121,244,126,240
Louisiana,East Baton Rouge,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,55,78,75,161,427,184
New Jersey,Unknown,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,220,712,1545,1205,1122,-1284,-2525
Massachusetts,Bristol,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,18,43,112,127,211,205,272
New Jersey,Camden,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,8,11,39,62,105,178,239,345
Maryland,Baltimore,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,15,23,90,86,200,221,331
Rhode Island,Providence,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,5,263,113,120,419
Georgia,Unknown,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,133,69,-38,73,45,642
Pennsylvania,Northampton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,16,23,50,151,221,250,233
Illinois,DuPage,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,49,25,52,71,154,144,215,228
Utah,Salt Lake,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,16,11,53,67,125,120,145,200,194
Louisiana,Caddo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,6,77,96,53,135,334,195
New Jersey,Burlington,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,9,12,22,67,87,165,279,237
Colorado,Arapahoe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,7,23,43,116,146,150,152,225
North Carolina,Mecklenburg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,53,104,129,121,144,169,128
Florida,Orange,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,15,13,55,126,160,228,152,106
Washington,Pierce,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,5,25,31,32,48,127,70,225,146,121
Washington,Unknown,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653,162
Ohio,Franklin,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,24,54,134,103,178,141,158
Louisiana,St. Tammany,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,15,42,67,86,215,202,140
Georgia,DeKalb,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,12,31,72,121,114,123,117,166
Pennsylvania,Allegheny,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,22,48,131,106,151,166,117
Michigan,Genesee,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,32,64,75,237,146,187
California,Alameda,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,22,4,11,17,70,29,121,57,130,145,125
California,San Bernardino,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,12,37,10,119,170,177,199
California,San Francisco,,0,0,0,2,0,0,0,0,0,0,1,0,0,0,8,6,9,17,30,38,70,127,92,100,86,141
Pennsylvania,Monroe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,6,16,20,55,130,161,175,144
Delaware,New Castle,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,15,16,40,51,67,82,217,205
New York,Monroe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,18,29,61,84,98,164,110,124
Virginia,Fairfax,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,6,15,45,80,88,128,116,202
Puerto Rico,Unknown,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,17,28,49,139,139,135,170
Colorado,Jefferson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,10,19,15,42,89,122,136,100,120
Florida,Hillsborough,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,14,38,65,83,99,158,112,82
Georgia,Cobb,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,14,16,29,42,76,102,135,95,136
Maryland,Baltimore city,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,17,29,59,75,126,122,203
Texas,Tarrant,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,14,28,24,43,61,208,69,185
Michigan,Washtenaw,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,20,38,113,126,166,66,94
California,San Mateo,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,11,22,47,28,48,109,35,177,93,54
Texas,Bexar,,0,0,0,0,0,0,1,1,0,2,6,0,1,0,0,0,0,2,4,33,19,56,82,135,125,159
Georgia,Gwinnett,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,7,15,42,62,111,111,102,163
Pennsylvania,Berks,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,7,45,45,91,125,290
Colorado,Weld,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,28,50,74,94,124,125,110
California,Sacramento,,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,6,7,16,12,8,60,52,60,165,72,151
Texas,Travis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,72,40,41,46,145,151,95
Pennsylvania,Lancaster,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,33,78,109,176,188
Florida,Duval,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10,24,21,60,87,116,155,117
Guam,Unknown,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,15,5,25,82,15,112,276
Colorado,El Paso,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,9,36,71,62,102,88,67,93
Indiana,Lake,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,49,78,98,125,156
Alabama,Jefferson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,17,37,58,85,68,87,69,85
Florida,Lee,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,6,15,26,67,87,97,96,122
Arizona,Pima,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,10,32,71,82,78,135,97
Maryland,Anne Arundel,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,14,12,57,39,122,94,162
Missouri,St. Louis city,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,39,40,43,139,82,141
Idaho,Ada,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,24,51,107,156,68,75
California,Contra Costa,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,16,9,8,19,47,60,54,85,110,67
Louisiana,St. John the Baptist,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,17,27,50,186,76,111
Colorado,Adams,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,8,20,57,90,109,73,108
Ohio,Hamilton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,29,23,53,96,174,79
New York,Ulster,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,5,14,39,63,87,28,139,78
Washington,Yakima,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,15,27,49,47,142,91,67
Idaho,Blaine,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,4,31,62,78,213,18,23
Massachusetts,Barnstable,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,19,27,82,58,123,69,61
New York,Putnam,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,35,47,47,55,50,109,93
Kentucky,Jefferson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,7,12,17,56,91,59,64,123
Texas,Fort Bend,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,0,10,10,25,47,37,83,97,114
Texas,Denton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,21,40,78,58,67,64,89
Pennsylvania,Chester,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,13,31,62,43,67,81,118
Rhode Island,Unknown,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,15,1,23,39,23,62,11,-20,173,92
Florida,Pinellas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,12,22,16,57,56,151,54,50
South Carolina,Richland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,28,22,67,76,87,106
New Jersey,Gloucester,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,15,28,63,69,96,134
Texas,Collin,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,10,20,28,62,32,67,79,100
Ohio,Lucas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,18,44,66,100,88,82
Indiana,Hamilton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16,12,34,63,93,115,60
Colorado,Eagle,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13,18,17,29,40,62,45,106,22,39
Louisiana,Lafourche,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,6,16,40,111,120,88
Connecticut,Unknown,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,141,46,128
New Jersey,Sussex,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,15,54,51,78,82,100
Tennessee,Sumner,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,14,46,82,119,52,54
Oklahoma,Oklahoma,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16,8,29,52,48,82,42,106
New York,Albany,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,31,80,29,43,31,41,52,60
Minnesota,Hennepin,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,7,24,54,41,52,38,38,95
North Carolina,Wake,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,6,10,24,24,51,68,66,56,57
Louisiana,Ascension,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,48,42,54,61,125,23
New Mexico,Bernalillo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,6,14,14,45,36,73,60,107
Michigan,Unknown,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,46,122,152,1
Nevada,Washoe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,9,7,32,36,28,108,52,82
Louisiana,St. Charles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,9,13,41,139,75,77
New York,Onondaga,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27,36,64,65,107,76,-19
Vermont,Chittenden,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,10,33,50,47,47,86,51
Ohio,Mahoning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,24,38,73,50,69,62
Hawaii,Honolulu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,12,23,27,40,49,80,55,42
California,Kern,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,19,23,54,98,47,84
Alabama,Mobile,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,24,19,50,45,181
Louisiana,St. Bernard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,10,20,28,125,71,58
New Jersey,Warren,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,33,25,73,66,104
Virginia,Henrico,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,12,11,31,50,95,112
Illinois,Kane,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,7,25,52,38,48,58,84
New Hampshire,Hillsborough,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,14,23,55,86,78,46
Connecticut,Litchfield,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,5,21,32,56,52,57,85
South Carolina,Charleston,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,8,39,56,34,105,53,13
Pennsylvania,Lackawanna,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,33,27,41,71,122
Oregon,Washington,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,2,4,11,30,41,44,46,42,43,40
Texas,Galveston,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7,11,38,46,100,50,52
Oklahoma,Tulsa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,21,30,26,92,74,59
Wisconsin,Dane,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,5,17,34,27,70,36,50,34,29
Massachusetts,Berkshire,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,2,7,5,48,48,52,69,28,36
Louisiana,Lafayette,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,14,28,70,158,-16,43
Florida,Collier,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,15,24,38,51,57,46,54
Oregon,Multnomah,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,12,14,48,35,59,68,59
Louisiana,Ouachita,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,24,23,57,116,70
Virginia,Prince William,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,6,14,24,38,37,62,106
Maryland,Howard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,8,11,38,44,49,48,85
Georgia,Clayton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,7,16,28,55,94,48,44
Florida,Osceola,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,11,15,35,36,91,40,54
New York,Sullivan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,23,33,37,47,103,35
Delaware,Sussex,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,14,33,29,29,42,135
Utah,Summit,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,24,40,37,45,50,38,29
Tennessee,Williamson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,9,17,13,18,29,16,110,39,28
New Jersey,Hunterdon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,9,36,36,51,63,75
Arizona,Navajo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,24,20,34,57,62,76
Louisiana,Tangipahoa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,15,30,131,97
Virginia,Arlington,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,9,20,29,29,31,68,77
New Hampshire,Rockingham,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,8,10,28,30,51,53,56,31
Kansas,Wyandotte,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,6,13,26,26,52,55,91
Missouri,St. Charles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,15,19,58,37,56,86
California,Ventura,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,14,11,20,48,51,40,37,48
South Dakota,Minnehaha,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,8,8,10,37,72,134
Utah,Utah,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,11,12,40,80,73,49
Colorado,Douglas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,6,19,25,34,52,50,33,43
Maine,Cumberland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,21,22,31,33,49,53,27,20
Virginia,Loudoun,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,10,5,34,33,43,58,70
Missouri,Kansas City,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,38,43,25,34,59,45
Indiana,Hendricks,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,4,7,21,34,68,58,60
South Carolina,Greenville,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,12,31,7,49,68,30,50
Kansas,Johnson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,8,12,18,34,54,38,41,39
Pennsylvania,York,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,10,17,29,36,87,61
Indiana,Johnson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,12,28,49,35,59,53
Georgia,Hall,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,10,12,36,14,57,109
Washington,Spokane,,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,2,11,35,53,32,54,32,20
California,San Joaquin,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,8,24,30,37,43,34,27,33
Washington,Whatcom,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,12,47,36,14,66,46,15
California,Santa Barbara,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,10,8,38,35,53,40,51
North Carolina,Durham,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,8,34,27,21,37,32,52
Oregon,Marion,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,9,21,51,47,37,31,26
Florida,Polk,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,22,36,53,54,54
